	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
A1CF	138	65	3.2647415480822537	0.82443
A2M	138	64	1.27285245280453	0.6429
A4GALT	138	52	0.2376531793309187	0.52416
A4GNT	138	67	-0.45961717331489516	0.44748
AAAS	138	81	-9.372435539509757	0.00162
AACS	138	59	-3.2634261496991916	0.18808
AADAC	138	65	-3.06222277024431	0.19148
AAGAB	138	70	-8.896932945193065	0.0048
AAK1	138	57	3.4390244277209097	0.82385
AAMP	138	63	-5.805628035069907	0.05139
AANAT	138	66	-1.1239066408821294	0.37258
AARS	138	77	-21.418210834835843	1e-05
AARSD1	138	76	-3.336167016535958	0.15009
AASDHPPT	138	95	-10.490475065122462	0.00015
AASS	138	73	-15.916998586060036	1e-05
AATF	138	67	-8.8838038917484	0.00549
AATK	138	47	3.717479519643496	0.818
ABAT	138	53	1.0826341937732458	0.61239
ABCA1	138	55	-1.164724822846274	0.37947
ABCA11P	138	86	-3.8129616703875935	0.10438
ABCA12	138	61	5.029438128839592	0.91813
ABCA2	138	43	0.019366845336023515	0.50381
ABCA3	138	58	-4.565662612213057	0.10816
ABCA4	138	50	-0.2935459585436958	0.46957
ABCA5	138	58	-1.5529298585647235	0.33861
ABCA6	138	56	6.4012091473592765	0.95514
ABCA7	138	47	-2.86319686697312	0.2413
ABCA8	138	72	4.263197184037213	0.90096
ABCB1	138	72	-3.9664924398793033	0.11826
ABCB11	138	65	2.8977348062555395	0.79601
ABCB4	138	79	-20.925922467283602	1e-05
ABCB6	138	43	-15.558719980252533	0.00023
ABCB7	138	53	0.4915451610672762	0.55197
ABCB8	138	63	-1.9886735581049528	0.28849
ABCB9	138	57	-0.9251762066190395	0.39925
ABCC1	138	58	-2.2329133185930803	0.27255
ABCC10	138	54	-0.24073275783465284	0.47435
ABCC2	138	62	-14.955119673462308	4e-05
ABCC3	138	66	1.3438756354980332	0.65298
ABCC4	138	63	-4.988974849520473	0.0811
ABCC5	138	97	0.9437308073745299	0.62785
ABCC6	138	61	-3.0110262447118883	0.19813
ABCC8	138	69	-0.7952866245667671	0.40773
ABCC9	138	57	1.4576033965507738	0.6521
ABCD1	138	53	2.747960127934812	0.76315
ABCD2	138	67	0.8229916251010637	0.5931
ABCD3	138	85	-7.855743356241275	0.00564
ABCD4	138	47	-3.215781579652755	0.21527
ABCE1	138	96	-26.703094043946393	1e-05
ABCF1	138	63	8.588088040452382	0.99131
ABCF2	138	94	-17.87863609209395	1e-05
ABCF3	138	66	-2.8854962537252864	0.20395
ABCG1	138	56	-1.7124746837901017	0.32398
ABCG2	138	72	-1.810929496641782	0.29358
ABCG4	138	64	-2.918000210810523	0.20525
ABCG5	138	59	-12.855836140788146	0.0003
ABHD10	138	75	-19.824043652239634	1e-05
ABHD11	138	53	-1.498991682954648	0.34898
ABHD14A	138	46	-3.313041528734228	0.2129
ABHD2	138	80	-5.618117996984142	0.03843
ABHD3	138	74	-8.673900423003134	0.0044
ABHD4	138	53	-3.2454130087482715	0.19984
ABHD5	138	91	-14.92935170059239	1e-05
ABHD6	138	102	-14.457333405423489	1e-05
ABHD8	138	73	-9.662972688621032	0.002
ABI1	138	61	-3.340247422709222	0.17341
ABI2	138	81	-6.980991417906195	0.01311
ABI3BP	138	86	-2.897696204008808	0.17006
ABL1	138	50	-14.223302963859808	0.00037
ABL2	138	65	-3.4245480689438597	0.16412
ABLIM1	138	60	0.9680175028227995	0.6055
ABLIM3	138	55	0.8511634355490879	0.58953
ABO	138	62	3.5060030091713585	0.83555
ABP1	138	67	0.2937648522147807	0.53476
ABR	138	70	-4.193806230020814	0.10788
ABT1	138	90	-12.4696816000228	3e-05
ABTB2	138	65	0.08360432686298816	0.51063
ACAA1	138	61	0.7981043616279697	0.58759
ACAA2	138	59	4.09206939790641	0.86835
ACACA	138	80	-6.2189531244741625	0.02464
ACACB	138	71	2.8042713608679035	0.80133
ACAD10	138	48	-0.5184997243586474	0.44913
ACAD8	138	75	2.384924709308772	0.76852
ACADL	138	78	-0.5924166277389084	0.42584
ACADM	138	78	-2.099953434808478	0.25375
ACADS	138	59	3.585562762527163	0.83722
ACADSB	138	54	-6.952190959532987	0.03669
ACADVL	138	37	-3.1329144453174713	0.24896
ACAN	138	67	-0.06853630367438202	0.49407
ACAP1	138	50	3.1834612995726945	0.78767
ACAP2	138	66	-7.623915908273381	0.01529
ACAT1	138	64	-0.10107019729967111	0.49016
ACAT2	138	63	-10.142097973914792	0.0023
ACBD3	138	79	-5.261921820333135	0.04897
ACBD4	138	41	-2.6539172998755785	0.27132
ACCN1	138	73	6.943313015934208	0.98196
ACCN2	138	76	-3.254046794614307	0.15594
ACCN3	138	35	0.22692723494013595	0.52014
ACCN4	138	55	4.029071649169778	0.85449
ACD	138	74	-1.820732715010468	0.28736
ACE	138	43	0.18812121731450407	0.52007
ACE2	138	70	-5.143238133488212	0.06473
ACHE	138	60	4.151300282051088	0.87335
ACIN1	138	59	1.7119847906730052	0.68326
ACLY	138	69	-6.902234538105217	0.02143
ACN9	138	101	-16.133208613485618	1e-05
ACO1	138	46	-4.4533914699958155	0.14071
ACO2	138	55	3.209076001482527	0.80045
ACOT11	138	64	-1.0356313410751443	0.38607
ACOT13	138	45	-2.124332959292484	0.30357
ACOT7	138	99	-14.713419624944377	1e-05
ACOT8	138	64	-6.280349529886388	0.03833
ACOT9	138	39	2.6867061297676464	0.72741
ACOX1	138	67	-0.45887813691275936	0.4476
ACOX2	138	58	-2.399843062194728	0.25752
ACOX3	138	72	-6.538509011497419	0.02462
ACOXL	138	59	-0.26355979387845063	0.47451
ACP1	138	90	-11.765470305487224	6e-05
ACP2	138	52	-2.594928935238841	0.2531
ACP5	138	80	-1.9012133506034137	0.27092
ACP6	138	77	-2.221519483520056	0.24245
ACPP	138	57	-0.7990039604507349	0.41265
ACR	138	62	0.13590358679328107	0.51337
ACRV1	138	76	-1.3798783939986172	0.33069
ACSBG1	138	74	4.2428271808244755	0.90323
ACSBG2	138	68	1.9351497556882662	0.71413
ACSF2	138	48	-0.8470826591349245	0.41693
ACSL1	138	72	-1.083983755605132	0.37329
ACSL3	138	70	-7.050238896238742	0.01933
ACSL4	138	74	-7.604828477348257	0.01039
ACSL5	138	86	-0.9105986367185498	0.3815
ACSL6	138	83	6.382347536875274	0.98025
ACSM1	138	54	-4.429427025351333	0.12288
ACSM3	138	54	-8.413261357214207	0.01567
ACSM5	138	58	-3.183555711528957	0.19476
ACSS3	138	70	3.5133254747121243	0.85267
ACTA1	138	80	0.7734114811720578	0.59765
ACTA2	138	88	1.83137606819499	0.7294
ACTB	138	82	-8.915679892001112	0.0021
ACTC1	138	59	2.794183286471972	0.78014
ACTG1	138	62	3.495899698749028	0.83481
ACTG2	138	66	3.697319851121602	0.85778
ACTL6A	138	89	-9.851430050371809	0.00055
ACTL6B	138	66	-5.193853309538133	0.06827
ACTL7A	138	69	-1.9176118393039714	0.28633
ACTL7B	138	57	-2.895743386295093	0.2161
ACTL8	138	65	3.1413356528786087	0.81516
ACTN1	138	69	-3.265460623007603	0.16766
ACTN2	138	83	2.1187701709821702	0.75176
ACTN3	138	79	-0.07365102370257727	0.49039
ACTN4	138	59	-5.126390683795581	0.08278
ACTR10	138	69	-5.591294162619292	0.04951
ACTR1A	138	60	-9.852934607127933	0.00421
ACTR1B	138	51	-0.19371304370348857	0.47874
ACTR2	138	77	-1.6829109879565067	0.2985
ACTR3	138	80	-4.756032614984255	0.0664
ACTR3B	138	75	-4.918624508855263	0.06543
ACTR5	138	83	-9.654836428613994	0.00088
ACTR6	138	94	-13.6885859357863	1e-05
ACTR8	138	62	3.061035213323211	0.80317
ACVR1	138	63	-0.9875405729537117	0.39194
ACVR1B	138	59	-1.2236023346469873	0.37143
ACVR2A	138	65	1.697174061186948	0.688
ACVR2B	138	59	1.6918693012289556	0.68113
ACVRL1	138	58	1.7227853852382191	0.67836
ACYP1	138	88	-12.901477708771449	5e-05
ACYP2	138	50	-0.7807835352201296	0.42051
ADA	138	53	4.704577755172607	0.88872
