	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
AARS	138	77	-21.418210834835843	1e-05
ABCB6	138	60	-12.523115739106055	0.00034
ABCC5	138	97	0.9437308073745299	0.63021
ABCF1	138	63	8.588088040452382	0.99194
ABCF3	138	66	-2.8854962537252864	0.20193
ABHD4	138	53	-3.2454130087482715	0.19936
ABHD6	138	105	-12.73758443909128	1e-05
ABL1	138	50	-14.223302963859808	0.00033
ACAA1	138	66	-1.8741492520330536	0.29403
ACAT2	138	63	-10.142097973914792	0.00265
ACBD3	138	79	-2.9490492210993744	0.17732
ACD	138	74	-1.820732715010468	0.28927
ACLY	138	61	-1.3327497898573013	0.35341
ACOT9	138	39	2.6867061297676464	0.72498
ADAM10	138	71	0.8692799851700186	0.60514
ADAT1	138	82	1.879885503859045	0.72839
ADCK3	138	104	-5.3775443485871195	0.02523
ADH5	138	73	-2.0250931040297124	0.26846
ADI1	138	92	-12.244879050810383	1e-05
ADO	138	97	2.1504873540065326	0.77511
ADRB2	138	87	-3.6643991111651593	0.11171
AGL	138	90	3.978634050619688	0.91123
AKAP8	138	84	-1.2328484978793417	0.34552
AKAP8L	138	75	-1.5807920642941418	0.31617
AKR7A2	138	45	1.6868498274193455	0.65418
AKT1	138	44	9.256359880432864	0.98353
ALAS1	138	57	-1.8583872771440488	0.30965
ALDH7A1	138	57	3.160365716246022	0.80309
ALDOA	138	79	-5.456947064305276	0.04229
ALDOC	138	60	-7.863129156499892	0.0163
AMDHD2	138	67	-2.6882325007322674	0.21942
ANKRD10	138	76	-2.6422343450962615	0.20693
ANO10	138	54	-2.4384089961342488	0.26184
ANXA7	138	65	-8.766040841563463	0.00665
APBB2	138	90	5.267273783197801	0.96237
APOE	138	91	5.885450144053382	0.97681
APP	138	58	1.807130478019196	0.68584
APPBP2	138	56	2.819462253714199	0.77546
ARFIP2	138	48	-7.545164558694259	0.03398
ARHGAP1	138	55	-3.1979203241136633	0.19943
ARHGEF12	138	83	-3.7532360117687213	0.11224
